# owner/name		url						branch
aemogie/aetheria	https://github.com/aemogie/aetheria.git		dev
abcdw/rde		https://git.sr.ht/~abcdw/rde			master
anemofilia/zero		https://codeberg.org/anemofilia/zero.git	main
look/misako		https://codeberg.org/look/misako.git		main
hako/Testament		https://git.boiledscript.com/hako/Testament.git trunk
jjba23/sss		https://codeberg.org/jjba23/sss.git		trunk
divyaranjan/dotfiles	https://codeberg.org/divyaranjan/dotfiles.git	master
wloxyz/guix-configs	https://codeberg.org/wloxyz/guix-configs.git	main
lynn/galahad.git	https://git.transistor.house/lynn/galahad.git	main
ngraves/dotfiles	https://git.sr.ht/~ngraves/dotfiles		main

# this was slow, doubt their servers would be okay with my
# cronjobs. couldnt find any mirrors
# freya/dotfiles-guix	https://g.freya.cat/freya/dotfiles-guix.git	main
